[Point];[Position];[Force];[Time]
1;40.0;1.0861020000000001;T#0ms
2;40.01;1.402344;T#0ms
3;40.03;2.1491700000000002;T#0ms
4;40.05;2.316846;T#0ms
5;40.06;3.0636959999999998;T#0ms
6;40.07;3.322802;T#0ms
7;40.08;3.444726;T#0ms
8;40.09;3.322802;T#0ms
9;40.1;3.5057120000000004;T#0ms
10;40.12;3.627685;T#0ms
11;40.13;3.658154;T#0ms
12;40.14;3.886767;T#0ms
13;40.15;3.841064;T#0ms
14;40.16;4.191625;T#0ms
15;40.17;4.4812;T#0ms
16;40.19;4.405053;T#0ms
17;40.2;4.5422839999999995;T#0ms
18;40.21;4.267919;T#0ms
19;40.22;4.435594999999999;T#0ms
20;40.23;4.359374;T#0ms
21;40.24;4.23745;T#0ms
22;40.25;4.42036;T#0ms
23;40.26;4.481347;T#0ms
24;40.27;4.755712;T#0ms
25;40.28;5.0605459999999995;T#0ms
26;40.29;5.517772;T#0ms
27;40.3;5.456836;T#0ms
28;40.31;5.853116;T#0ms
29;40.3;1.8309;T#0ms
1;40.3;0.7278932;T#0ms
2;40.31;1.707227;T#0ms
3;40.32;2.194971;T#0ms
4;40.34;2.5760259999999997;T#0ms
5;40.35;3.261914;T#0ms
6;40.36;3.871582;T#0ms
7;40.37;4.176416000000001;T#0ms
8;40.38;4.2678709999999995;T#0ms
9;40.4;4.526976;T#0ms
10;40.41;4.328808;T#0ms
11;40.43;3.9020019999999995;T#0ms
12;40.44;4.191601;T#0ms
13;40.45;4.450732;T#0ms
14;40.46;4.267822;T#0ms
15;40.47;4.542186;T#0ms
16;40.48;4.877514;T#0ms
17;40.49;5.365234;T#0ms
18;40.5;5.42622;T#0ms
19;40.51;5.121386;T#0ms
20;40.52;4.770849;T#0ms
21;40.54;4.267894;T#0ms
22;40.55;4.024023000000001;T#0ms
23;40.56;4.08501;T#0ms
24;40.57;3.963086;T#0ms
25;40.58;3.8106449999999996;T#0ms
26;40.59;3.871631;T#0ms
27;40.6;4.267919999999999;T#0ms
28;40.61;4.069775;T#0ms
29;40.62;4.08501;T#0ms
30;40.64;4.130712;T#0ms
31;40.66;4.1459470000000005;T#0ms
32;40.67;3.6429440000000004;T#0ms
33;40.68;3.292334;T#0ms
34;40.69;3.5667;T#0ms
35;40.7;3.841016;T#0ms
36;40.71;4.176318;T#0ms
37;40.72;4.176318;T#0ms
38;40.73;5.106078;T#0ms
39;40.75;10.333982;T#0ms
40;40.76;14.47979;T#0ms
41;40.77;17.8025;T#0ms
42;40.78;22.66466;T#0ms
43;40.79;27.3439;T#0ms
44;40.8;29.843559999999997;T#0ms
45;40.81;32.8919;T#0ms
46;40.82;35.66588;T#0ms
47;40.83;38.348440000000004;T#0ms
48;40.84;62.97415;T#0ms
1;40.84;65.34665;T#0ms
2;40.85;65.79884;T#0ms
3;40.86;66.14179;T#0ms
4;40.87;66.75142;T#0ms
5;40.88;67.83204;T#0ms
6;40.89;68.11251999999999;T#0ms
7;40.9;68.48138;T#0ms
8;40.91;68.80148;T#0ms
9;40.92;68.36256;T#0ms
10;40.93;68.66431999999999;T#0ms
11;40.94;68.54235;T#0ms
12;40.95;68.18567;T#0ms
13;40.96;68.45085;T#0ms
14;40.97;69.90902;T#0ms
15;40.98;70.81338000000001;T#0ms
16;40.99;72.58144;T#0ms
17;41.0;74.08736;T#0ms
18;41.01;74.02184;T#0ms
19;41.02;73.66066;T#0ms
20;41.03;72.0024;T#0ms
21;41.04;70.23435;T#0ms
22;41.05;69.36551;T#0ms
23;41.06;68.4281;T#0ms
24;41.07;68.97222;T#0ms
25;41.08;70.42474;T#0ms
26;41.09;70.94145;T#0ms
27;41.1;71.47800000000001;T#0ms
28;41.11;71.1061;T#0ms
29;41.12;69.63676;T#0ms
30;41.13;68.91584;T#0ms
31;41.14;68.28334;T#0ms
32;41.15;68.14917;T#0ms
33;41.16;68.4205;T#0ms
34;41.17;68.33208;T#0ms
35;41.18;68.22836;T#0ms
36;41.19;68.38684;T#0ms
37;41.2;68.11551;T#0ms
38;41.21;67.89299;T#0ms
39;41.22;67.8488;T#0ms
40;41.23;67.64304;T#0ms
41;41.24;67.34432;T#0ms
42;41.25;66.24691999999999;T#0ms
