[Point];[Position];[Force];[Time]
1;44.0;7.6818100000000005;T#0ms
2;44.01;6.706397999999999;T#0ms
3;44.02;7.6666039999999995;T#0ms
4;44.04;10.593044;T#0ms
5;44.05;12.833594999999999;T#0ms
6;44.06;14.327291;T#0ms
7;44.07;15.790522;T#0ms
8;44.08;16.64408;T#0ms
9;44.1;18.4426;T#0ms
10;44.12;20.72885;T#0ms
11;44.13;22.83222;T#0ms
12;44.14;24.81362;T#0ms
13;44.15;26.61215;T#0ms
14;44.16;28.53261;T#0ms
15;44.17;30.361620000000002;T#0ms
16;44.18;32.343059999999994;T#0ms
17;44.19;34.50736;T#0ms
18;44.2;36.67167;T#0ms
19;44.21;40.26874;T#0ms
20;44.2;37.72899;T#0ms
1;44.2;19.88397;T#0ms
2;44.21;20.6373;T#0ms
3;44.22;21.79565;T#0ms
4;44.23;23.411279999999998;T#0ms
5;44.24;26.68825;T#0ms
6;44.25;29.87378;T#0ms
7;44.26;31.946620000000003;T#0ms
8;44.27;34.11098;T#0ms
9;44.29;36.21435;T#0ms
10;44.3;43.75908;T#0ms
11;44.29;65.851;T#0ms
1;44.29;68.4812;T#0ms
2;44.3;68.61072;T#0ms
3;44.31;68.27280999999999;T#0ms
4;44.32;67.86374;T#0ms
5;44.33;67.86223000000001;T#0ms
6;44.34;68.74011999999999;T#0ms
7;44.35;68.67916;T#0ms
8;44.36;69.08567;T#0ms
9;44.37;68.88651999999999;T#0ms
10;44.38;68.86976;T#0ms
11;44.39;68.69455;T#0ms
12;44.4;69.95347;T#0ms
13;44.41;71.81908;T#0ms
14;44.42;74.19684000000001;T#0ms
15;44.43;77.53782;T#0ms
16;44.44;81.00234;T#0ms
17;44.45;83.81756;T#0ms
18;44.46;86.90096;T#0ms
19;44.47;88.95097;T#0ms
20;44.48;91.18236;T#0ms
21;44.49;93.21101;T#0ms
22;44.5;93.9274;T#0ms
23;44.51;94.02139;T#0ms
24;44.52;94.00361;T#0ms
25;44.53;93.37865;T#0ms
26;44.54;92.74915;T#0ms
27;44.55;93.51579;T#0ms
28;44.56;93.8206;T#0ms
29;44.57;94.18182;T#0ms
30;44.58;95.01100000000001;T#0ms
31;44.59;95.3448;T#0ms
32;44.6;95.31583;T#0ms
33;44.61;95.07809;T#0ms
34;44.62;95.99264000000001;T#0ms
35;44.63;96.8035;T#0ms
36;44.64;97.63115;T#0ms
37;44.65;99.10961;T#0ms
38;44.66;101.40651;T#0ms
39;44.67;104.00216999999999;T#0ms
40;44.68;108.62803000000001;T#0ms
41;44.69;115.98371999999999;T#0ms
42;44.7;124.69283;T#0ms
43;44.71;130.599;T#0ms
44;44.72;135.0725;T#0ms
45;44.73;137.877;T#0ms
46;44.74;139.2995;T#0ms
47;44.75;142.4952;T#0ms
48;44.76;152.5014;T#0ms
49;44.77;163.3992;T#0ms
50;44.78;176.3394;T#0ms
51;44.79;190.9563;T#0ms
52;44.8;206.6859;T#0ms
53;44.81;224.1962;T#0ms
54;44.82;242.5472;T#0ms
55;44.83;264.29200000000003;T#0ms
56;44.84;292.7559;T#0ms
57;44.85;321.8372;T#0ms
58;44.86;355.1176;T#0ms
59;44.87;390.0546;T#0ms
60;44.88;422.0593;T#0ms
61;44.89;454.1005;T#0ms
62;44.9;484.9392;T#0ms
63;44.91;517.3478;T#0ms
64;44.92;551.058;T#0ms
65;44.93;581.9073;T#0ms
66;44.94;613.7016;T#0ms
67;44.95;651.6214;T#0ms
68;44.96;688.4395;T#0ms
69;44.97;720.4776;T#0ms
70;44.98;749.7266;T#0ms
71;44.99;774.1363;T#0ms
72;45.0;796.5158;T#0ms
73;45.01;813.201;T#0ms
74;45.02;823.4816;T#0ms
75;45.03;835.6994;T#0ms
76;45.04;846.0698;T#0ms
77;45.05;854.9711;T#0ms
78;45.06;867.5456;T#0ms
79;45.07;879.0607;T#0ms
80;45.08;886.8629;T#0ms
81;45.09;889.0272;T#0ms
82;45.1;886.209;T#0ms
83;45.11;878.1537;T#0ms
84;45.12;871.6454;T#0ms
85;45.13;866.1462;T#0ms
86;45.14;864.5732;T#0ms
87;45.15;869.3287;T#0ms
88;45.16;872.1942;T#0ms
89;45.17;874.1375;T#0ms
90;45.18;879.3579;T#0ms
91;45.19;887.1236;T#0ms
92;45.2;891.8154;T#0ms
93;45.21;900.3488;T#0ms
94;45.22;910.8474;T#0ms
95;45.23;918.4225;T#0ms
96;45.24;924.7275;T#0ms
97;45.25;931.5272;T#0ms
98;45.26;938.5751;T#0ms
99;45.27;946.0099;T#0ms
100;45.28;955.4902;T#0ms
101;45.29;963.6674;T#0ms
102;45.3;971.8523;T#0ms
103;45.31;981.8981;T#0ms
104;45.32;993.7928;T#0ms
105;45.33;1001.9137;T#0ms
106;45.34;1009.0042;T#0ms
107;45.35;1017.887;T#0ms
108;45.36;1023.1333;T#0ms
109;45.37;1026.5510000000002;T#0ms
110;45.38;1030.0910000000001;T#0ms
111;45.39;1034.405;T#0ms
112;45.4;1037.964;T#0ms
113;45.41;1039.7930000000001;T#0ms
114;45.42;1042.5819999999999;T#0ms
115;45.43;1047.414;T#0ms
116;45.44;1051.072;T#0ms
117;45.45;1055.175;T#0ms
118;45.46;1061.162;T#0ms
119;45.47;1064.862;T#0ms
120;45.48;1068.455;T#0ms
121;45.49;1071.02;T#0ms
122;45.5;1075.672;T#0ms
123;45.51;1082.183;T#0ms
124;45.52;1088.546;T#0ms
125;45.53;1093.755;T#0ms
126;45.54;1100.47;T#0ms
127;45.55;1104.547;T#0ms
128;45.56;1111.356;T#0ms
129;45.57;1114.241;T#0ms
130;45.58;1116.9460000000001;T#0ms
131;45.59;1121.385;T#0ms
132;45.6;1124.728;T#0ms
133;45.61;1125.672;T#0ms
134;45.62;1132.127;T#0ms
135;45.63;1137.073;T#0ms
136;45.64;1139.878;T#0ms
137;45.65;1145.0339999999999;T#0ms
138;45.66;1152.71;T#0ms
139;45.67;1157.4669999999999;T#0ms
140;45.68;1163.358;T#0ms
141;45.69;1168.029;T#0ms
142;45.7;1173.701;T#0ms
143;45.71;1178.914;T#0ms
144;45.72;1182.372;T#0ms
145;45.73;1187.3410000000001;T#0ms
146;45.74;1192.631;T#0ms
147;45.75;1196.226;T#0ms
148;45.76;1200.052;T#0ms
149;45.77;1203.032;T#0ms
150;45.78;1206.7939999999999;T#0ms
151;45.79;1210.897;T#0ms
152;45.8;1214.715;T#0ms
153;45.81;1217.672;T#0ms
154;45.82;1221.9260000000002;T#0ms
155;45.83;1224.126;T#0ms
156;45.84;1223.4189999999999;T#0ms
157;45.85;1227.3419999999999;T#0ms
158;45.86;1233.869;T#0ms
159;45.87;1239.902;T#0ms
160;45.88;1245.328;T#0ms
161;45.89;1250.7;T#0ms
162;45.9;1254.6480000000001;T#0ms
163;45.91;1262.495;T#0ms
164;45.92;1273.914;T#0ms
165;45.93;1279.9569999999999;T#0ms
166;45.94;1286.366;T#0ms
167;45.95;1287.234;T#0ms
168;45.96;1287.052;T#0ms
169;45.97;1288.843;T#0ms
170;45.98;1293.647;T#0ms
171;45.99;1300.069;T#0ms
172;46.0;1302.317;T#0ms
173;46.01;1306.499;T#0ms
174;46.02;1311.934;T#0ms
175;46.03;1315.382;T#0ms
176;46.04;1325.588;T#0ms
177;46.05;1332.64;T#0ms
178;46.06;1334.751;T#0ms
179;46.07;1337.3729999999998;T#0ms
180;46.08;1337.6470000000002;T#0ms
181;46.09;1341.1770000000001;T#0ms
182;46.1;1349.5479999999998;T#0ms
183;46.11;1355.358;T#0ms
184;46.12;1360.961;T#0ms
185;46.13;1365.28;T#0ms
186;46.14;1367.33;T#0ms
187;46.15;1369.704;T#0ms
188;46.16;1376.4160000000002;T#0ms
189;46.17;1380.836;T#0ms
190;46.18;1382.9560000000001;T#0ms
191;46.19;1383.549;T#0ms
192;46.2;1389.3470000000002;T#0ms
193;46.21;1390.566;T#0ms
194;46.22;1393.8339999999998;T#0ms
195;46.23;1396.092;T#0ms
196;46.24;1398.02;T#0ms
197;46.25;1401.876;T#0ms
198;46.26;1406.174;T#0ms
199;46.27;1411.265;T#0ms
200;46.28;1417.902;T#0ms
201;46.29;1418.0929999999998;T#0ms
202;46.3;1421.3729999999998;T#0ms
203;46.31;1426.819;T#0ms
204;46.32;1430.065;T#0ms
205;46.33;1436.0629999999999;T#0ms
206;46.34;1442.132;T#0ms
207;46.35;1447.7;T#0ms
208;46.36;1451.5870000000002;T#0ms
209;46.37;1456.015;T#0ms
210;46.38;1459.539;T#0ms
211;46.39;1464.108;T#0ms
212;46.4;1469.0079999999998;T#0ms
213;46.41;1471.764;T#0ms
214;46.42;1472.336;T#0ms
215;46.43;1474.892;T#0ms
216;46.44;1479.9289999999999;T#0ms
217;46.45;1482.223;T#0ms
218;46.46;1484.715;T#0ms
219;46.47;1490.68;T#0ms
220;46.48;1497.6860000000001;T#0ms
221;46.49;1502.0079999999998;T#0ms
222;46.5;1506.5410000000002;T#0ms
223;46.51;1515.555;T#0ms
224;46.52;1515.8310000000001;T#0ms
225;46.53;1517.485;T#0ms
226;46.54;1520.48;T#0ms
227;46.55;1522.0179999999998;T#0ms
228;46.56;1526.195;T#0ms
229;46.57;1532.2779999999998;T#0ms
230;46.58;1535.5079999999998;T#0ms
231;46.59;1536.2320000000002;T#0ms
232;46.6;1540.789;T#0ms
233;46.61;1548.148;T#0ms
234;46.62;1557.433;T#0ms
235;46.63;1560.5420000000001;T#0ms
236;46.64;1568.079;T#0ms
237;46.65;1570.5179999999998;T#0ms
238;46.66;1575.0;T#0ms
239;46.67;1577.3570000000002;T#0ms
240;46.68;1587.8029999999999;T#0ms
241;46.69;1594.0739999999998;T#0ms
242;46.7;1599.6;T#0ms
243;46.71;1602.5120000000002;T#0ms
244;46.72;1603.882;T#0ms
245;46.73;1604.39;T#0ms
246;46.74;1605.81;T#0ms
247;46.75;1606.3529999999998;T#0ms
248;46.76;1610.566;T#0ms
249;46.77;1617.315;T#0ms
250;46.78;1618.2579999999998;T#0ms
251;46.79;1622.266;T#0ms
252;46.8;1628.856;T#0ms
253;46.81;1636.3239999999998;T#0ms
254;46.82;1638.007;T#0ms
255;46.83;1645.2479999999998;T#0ms
256;46.84;1645.744;T#0ms
257;46.85;1649.0510000000002;T#0ms
258;46.86;1651.231;T#0ms
259;46.87;1658.7720000000002;T#0ms
260;46.88;1664.6070000000002;T#0ms
261;46.89;1668.911;T#0ms
262;46.9;1673.904;T#0ms
263;46.91;1676.4229999999998;T#0ms
264;46.92;1677.874;T#0ms
265;46.93;1679.5929999999998;T#0ms
266;46.94;1683.611;T#0ms
267;46.95;1683.315;T#0ms
268;46.96;1685.8239999999998;T#0ms
269;46.97;1687.781;T#0ms
270;46.98;1688.307;T#0ms
271;46.99;1686.9579999999999;T#0ms
272;47.0;1691.78;T#0ms
273;47.01;1695.646;T#0ms
274;47.02;1697.315;T#0ms
275;47.03;1704.7479999999998;T#0ms
276;47.04;1706.162;T#0ms
277;47.05;1709.0710000000001;T#0ms
278;47.06;1716.473;T#0ms
279;47.07;1721.5929999999998;T#0ms
280;47.08;1724.971;T#0ms
281;47.09;1730.1529999999998;T#0ms
282;47.1;1736.775;T#0ms
283;47.11;1741.816;T#0ms
284;47.12;1746.1770000000001;T#0ms
285;47.13;1751.729;T#0ms
