[Point];[Position];[Force];[Time]
132;41.83;579.0778;T#0ms
133;41.84;579.7894;T#0ms
134;41.85;580.8336;T#0ms
135;41.86;582.5772;T#0ms
136;41.87;583.516;T#0ms
137;41.88;583.9794;T#0ms
138;41.89;587.5398;T#0ms
139;41.9;589.8972;T#0ms
140;41.91;593.4588;T#0ms
141;41.92;597.5842;T#0ms
142;41.93;600.2942;T#0ms
143;41.94;599.6876;T#0ms
144;41.95;599.2699;T#0ms
145;41.96;599.4741;T#0ms
146;41.97;599.779;T#0ms
147;41.98;603.001;T#0ms
148;41.99;607.7016;T#0ms
149;42.0;610.6692;T#0ms
150;42.01;613.8532;T#0ms
151;42.02;614.8454;T#0ms
152;42.03;615.1396;T#0ms
153;42.04;616.2324;T#0ms
154;42.05;617.3771;T#0ms
155;42.06;618.9378;T#0ms
156;42.07;621.5228;T#0ms
157;42.08;624.1124;T#0ms
158;42.09;625.2936;T#0ms
159;42.1;627.1317;T#0ms
160;42.11;627.8084;T#0ms
161;42.12;628.1133;T#0ms
162;42.13;629.0278;T#0ms
163;42.14;629.5338;T#0ms
164;42.15;631.1618;T#0ms
165;42.16;632.2058;T#0ms
166;42.17;634.0395;T#0ms
167;42.18;634.9342;T#0ms
168;42.19;636.399;T#0ms
169;42.2;638.4854;T#0ms
170;42.21;639.9486;T#0ms
171;42.22;641.7274;T#0ms
172;42.23;643.9588;T#0ms
173;42.24;646.8380000000001;T#0ms
174;42.25;648.9278;T#0ms
175;42.26;650.5724;T#0ms
176;42.27;653.8234;T#0ms
177;42.28;655.8658;T#0ms
178;42.29;657.4386;T#0ms
179;42.3;660.7460000000001;T#0ms
180;42.31;662.8098;T#0ms
181;42.32;666.3642;T#0ms
182;42.33;671.1408;T#0ms
183;42.34;674.5887;T#0ms
184;42.35;678.3808;T#0ms
185;42.36;681.9702;T#0ms
186;42.37;684.3983;T#0ms
187;42.38;687.3888;T#0ms
188;42.39;691.6108;T#0ms
189;42.4;696.2138;T#0ms
190;42.41;702.1642;T#0ms
191;42.42;706.4054;T#0ms
192;42.43;712.9796;T#0ms
193;42.44;718.2227;T#0ms
194;42.45;720.6766;T#0ms
195;42.46;724.5877;T#0ms
196;42.47;726.7353;T#0ms
197;42.48;730.2638;T#0ms
198;42.49;735.1838;T#0ms
199;42.5;739.3966;T#0ms
200;42.51;744.6977;T#0ms
201;42.52;749.2854;T#0ms
202;42.53;753.1721;T#0ms
203;42.54;757.0436;T#0ms
204;42.55;761.1922;T#0ms
205;42.56;764.7224;T#0ms
206;42.57;768.3682;T#0ms
207;42.58;773.8431;T#0ms
208;42.59;779.2508;T#0ms
209;42.6;783.4652;T#0ms
210;42.61;786.2134;T#0ms
211;42.62;788.2944;T#0ms
212;42.63;788.0606;T#0ms
213;42.64;791.0602;T#0ms
214;42.65;793.7245;T#0ms
215;42.66;795.247;T#0ms
216;42.67;798.309;T#0ms
217;42.68;799.4004;T#0ms
218;42.69;801.3896;T#0ms
219;42.7;803.8268;T#0ms
220;42.71;808.82;T#0ms
221;42.72;811.975;T#0ms
222;42.73;814.4045;T#0ms
223;42.74;817.5504;T#0ms
224;42.75;818.605;T#0ms
225;42.76;819.7786;T#0ms
226;42.77;822.5252;T#0ms
227;42.78;825.5146;T#0ms
228;42.79;825.9943;T#0ms
